Q.DataID,Q.Desc,R.Answer,W.Answer1,W.Answer2,W.Answer3,Difficulty,Explanation,Keyword
1,버전관리 소프트웨어 git에 있는 3가지 개념적 장소 중 하나에 해당하는 것은?,Repository,Wolking directory,State Area,Reservoir,1,,
2,"이 명령어는 Git을 로컬 저장소에서 생성하기 위해서 사용되는 명령어이며, 이 명령어를 실행하면, .git 이라는 파일이 생성된다. 이 파일은 버전에 대한 정보를 담고 있는 파일이며, 평소에는 숨김파일로 설정된다. 이 명령어는 무엇인가?",git init,git add,git commit,git create,1,,
3,객체지향의 핵심 개념에 포함되지 않는 것은?,연관성,추상화,상속성,다형성,2,,
4,다음 중 객체지향 설계의 장점이 아닌 것은?,반복 코드 증가,재사용성 향상,유지보수 용이,데이터 은닉 가능,2,,
5,다음 중 클래스에 대한 설명으로 올바른 것은?,객체들의 속성과 기능을 정의하는 틀이다.,하나의 인스턴스만 가질 수 있다.,클래스는 실행 시점에 생성된다.,클래스는 함수만 포함한다.,2,,
6,다형성의 개념을 가장 잘 설명한 것은?,동일한 이름의 메서드가 서로 다른 기능을 수행할 수 있다.,클래스 간에 속성을 공유할 수 있다.,모든 객체는 독립적으로 존재한다.,하나의 클래스는 여러 개의 객체를 가질 수 없다.,3,,
7,"”한 클래스가 다른 클래스의 기능을 확장하는 관계""를 의미하는 UML 요소는?",상속,의존,포함,연관,3,,
8,"객체지향 설계 시, 객체들이 갖는 행위는 일반적으로 무엇이라고 부르는가?",메서드,속성,메시지,클래스,1,,
9,UML 유스케이스 다이어그램에서 액터가 의미하는 것은?,시스템의 외부 사용자 또는 시스템,시스템 내부의 모듈,데이터베이스 테이블,시각적 구성 요소,2,,
10,객체지향의 추상화 개념을 잘 설명한 것은?,불필요한 구현을 숨기고 중요한 부분만 보여주는 것,데이터를 공유하기 위한 상속 구조,객체 간 결합도를 높이는 기법,알고리즘을 객체에 포함시키는 것,2,,
11,다음 중 클래스의 구성 요소가 아닌 것은?,이벤트(Event),속성(Attribute),메서드(Method),이름(Name),1,,
12,"C++ 접근 지정자 중 해당 클래스와 파생 클래스에서는 접근 가능하지만, 외부에서는 접근할 수 없는 것은?",protected,public,private,internal,3,,
