Q.DataID,Q.Desc,R.Answer,W.Answer1,W.Answer2,W.Answer3,Difficulty,Explanation,Keyword
1,다음 중 문법에 맞는 식별자가 아닌 것은?,2spams,spAms,spam,spam4U,2,"파이썬 식별자(변수명 등)는 숫자로 시작할 수 없습니다.
반드시 영문자나 언더바(_)로 시작해야합니다.",식별자
2,Python에서 사용자의 입력을 받기 위한 내장 함수는 무엇인가?,input,read,enter,malloc,2,"input() 함수는 사용자로부터 키보드 입력을 문자열 형태로 받는
파이썬의 표준 내장 함수입니다.",input() 함수
3,Python의 내장 데이터 타입이 아닌 것은?,rational,int,float,string,2,"Python의 기본 숫자 타입에는 int(정수), float(부동소수점) 등이 있지만,
유리수를 뜻하는 rational은 내장 타입이 아닙니다.",데이터 타입
4,다음 중 s[0:-1]과 동일한 것은?,s[:len(s)-1],s[-1],s[:],s[0:len(s)],3,"슬라이싱 s[0:-1]은 첫 번째 요소부터 마지막 요소 바로 직전까지를 의미합니다.
len(s)-1은 마지막 인덱스를 가리키므로 s[:len(s)-1]과 결과가 같습니다.",슬라이싱
5,문자의 유니코드 숫자 값을 리턴하는 함수는 무엇인가?,ord,ascii,chr,eval,2,"ord() 함수는 특정 문자의 유니코드(정수값)를 반환합니다.
반대로 정수를 문자로 바꾸는 함수는 chr()입니다.",ord() 함수
6,format 메서드의 형식 문자열에서 값이 들어갈 자리 표현은?,{},%%,$$,[],2,"문자열 포맷팅 메서드인 .format()을 사용할 때,
데이터가 삽입될 위치는 중괄호 {}를 사용하여 지정합니다.",문자열 포매팅
7,Python에서 인자가 함수에 전달되는 기본 방식은?,참조로 호출,값으로 호출,무작위로 호출,주소로 호출,3,"Python은 '객체 참조에 의한 호출(Call by Object Reference)' 방식을 사용합니다.
함수에 객체의 참조값(메모리 주소와 유사한 개념)이 전달됩니다.",함수 인자 전달
8,함수를 사용해야 하는 이유로 가장 먼 것은?,주석을 가급적 많이 넣기 위해,코드 중복을 줄이기 위해,프로그램의 모듈성을 향상시키기 위해,코드 자체로 프로그램을 이해할 수 있게 하기 위해,2,"함수는 코드의 재사용성과 가독성을 높이기 위해 사용합니다.
주석의 양을 늘리는 것은 함수의 목적과 상관이 없습니다.",함수
9,다음 중 return 문이 포함되지 않은 함수의 리턴 값은 무엇인가?,None,인자,변수,아무것도 반환 안 함,2,"Python 함수에서 명시적인 return 문이 없으면 실행을
마친 후 자동으로 None 객체를 반환합니다.","return, None"
10,함수 안에서 실질 인자의 값을 바꾸려면 해당 인자가 어떤 것이어야 하는가?,리스트 변수,불변형 변수,스트링 변수,주소로 호출,3,"함수 내부에서 인자로 받은 원본 데이터를 변경하려면
리스트와 같이 내용을 수정할 수 있는 가변(Mutable) 객체여야 합니다.
숫자나 문자열은 불변 객체이므로 함수 내에서 값을 바꿔도 원본에 영향을 주지 못합니다.",가변 객체
11,Python에서 정수끼리 나누면 결과도 항상 정수이다.,X,O,,,1,"Python 3에서 / 연산자는 항상 float를 반환하기 때문에
정수 몫을 원하면 // 연산자를 사용해야 합니다.",나눗셈 연산자
12,Python에서 변수를 사용하기 전에 자료형을 먼저 선언해야 한다.,X,O,,,1,"Python은 동적 타이핑(dynamic typing) 언어입니다.
변수에 값을 대입하는 순간 타입이 자동으로 결정됩니다.",동적 타이핑
13,print(0.1 + 0.2 == 0.3)의 실행 결과는 True이다.,X,O,,,1,부동소수점 오차 때문에 0.1 + 0.2는 정확히 0.3이 되지 않아 결과는 False입니다.,부동소수점
14,Python에서 리스트(list)는 서로 다른 자료형의 요소를 함께 저장할 수 있다.,O,X,,,1,"Python의 리스트는 이종(heterogeneous) 컨테이너입니다.
어떤 자료형이든 한 리스트 안에 함께 저장할 수 있습니다.",리스트
15,Python의 range(5)는 총 5개의 숫자를 생성한다.,O,X,,,1,"range(5)는 0부터 4까지 총 5개의 숫자(0, 1, 2, 3, 4)를 생성합니다.",range() 함수
16,"nums리스트에 [1, 2, 3, 4, 5]가 저장되어 있을때 print(num[1:4])의 실행 결과는?","[2, 3, 4]","[2, 3, 4, 5]","[1, 2, 3]","[1, 2, 3, 4]",2,"슬라이싱 [start:end]은 start인덱스 (1)부터 end-1인덱스(3)까지의
요소를 가져오므로 [2, 3, 4]가 됩니다.",슬라이싱
17,Python 클래스에서 인스턴스가 생성될 때 자동으로 호출되는 생성자 메서드의 이름은? ,init,new,main(),construct,2,"Python에서는 언더바 2개로 시작하고 끝나는 __init__메서드가 클래스의 인스턴스를
초기화하는 생성자 역할을 합니다.",클래스
18,다음 리스트 생성 문법 코드가 만드는 결과는 무엇인가?,"[0, 2, 4]","[2, 4, 6]","[0, 1, 2]","[0, 2, 4, 6]",2,"range(3)은 0, 1, 2를 생성하므로 각각에 2를 곱한 [0, 2, 4]가 올바른 결과입니다.",리스트
19,"Python에서 리스트의 가장 마지막 요소를 제거하고,
그 제거된 요소를 반환받기 위해 사용하는 메서드는 무엇인가?",pop(),clear(),delete(),remove(),2,pop() 메서드는 인덱스를 지정하지 않으면 리스트의 마지막 요소를 제거하며 그 값을 반환한다.,리스트
20,"중첩 함수 구조에서, 함수 내부에서 자신을 둘러싼 외부 함수의 지역 변수를
수정하고자 할 때 사용하는 키워드는 무엇인가?",nonlocal,global,local,outer,2,"nonlocal 키워드는 현재 함수의 지역 변수가 아니고 전역 변수도 아닌,
바로 한 단계 위 상위 함수의 지역 변수를 수정할 때 사용합니다. ",함수
21,함수 내부에서 전역 변수를 수정해야 할 때 사용하는 키워드는 무엇인가?,global,nonlocal,local,outer,2,global은 완전히 함수 바깥에 있는 파일 전역 범위의 변수를 가리킬 때 사용합니다.,함수
22,"Python 클래스 내부 메서드 정의 시, 첫 번째 매개변수로 관례상 'self'를 지정한다.
이 'self'가 실제로 의미하는 것은 무엇인가?",매서드가 호출된 현재 인스턴스 객체,클래스 자체,전역 네임스페이스,부모 클래스,2,self는 클래스를 통해 실제로 메모리에 생성된 자기 자신(인스턴스)을 가리키는 참조 변수 입니다.,클래스
